org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,"Updating Company Information,Contacting PaymentWorks,Finding guidance on PaymentWorks actions","Contacting PaymentWorks,Finding guidance on PaymentWorks actions,Supplier Registration",PaymentWorks' Payee Knowledge Base,Yes,Transcepta - Email,"N/A, I've never heard of Transcepta",Finding guidance on Transcepta actions.,Other (please specify):,Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,No
Sole Proprietor / Individual,Accounts receivable,Yes,"Supplier Registration,Updating Remittance Details,Finding guidance on PaymentWorks actions,Viewing Payment Status",Contacting PaymentWorks,The person ordering the goods or services,Yes,Other:,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Registering for Transcepta",Viewing invoice submission status.,Other (please specify):,Payee Newsletter,I have not experienced any difficulties,2 – Somewhat Unclear,No
Large Business,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have never utilized these resources or support,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,Yes,"Supplier Registration,Updating Company Information,Contacting PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,I have never utilized these resources or support,3 – Neutral,Yes
Sole Proprietor / Individual,Other:,,,,,,,,,,,,,
Small Business (per SBA standards),Accounts receivable,Yes,"Contacting PaymentWorks,Viewing Payment Status","Viewing Payment Status,Finding guidance on PaymentWorks actions","Procurement (pohelp@ucsd.edu),PaymentWorks' Payee Knowledge Base",Yes,Other:,"Receiving notifications about invoice errors/rejections,Registering for Transcepta,Viewing invoice submission status.","Registering for Transcepta,Receiving notifications about invoice errors/rejections","Procurement (pohelp@ucsd.edu),Transcepta Support",I am not aware of any of these resources,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,No
Large Business,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Other:,"Finding guidance on Transcepta actions.,Registering for Transcepta,Receiving notifications about invoice errors/rejections",None of the Above,I am unsure who to contact,Other (Please specify):,I have not experienced any difficulties,1 – Extremely Unclear,Yes
Other (please specify):,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,No
Sole Proprietor / Individual,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,None of the Above,"Viewing invoice submission status.,Registering for Transcepta,Receiving notifications about invoice errors/rejections",Transcepta Support,Payee Onboarding Guide,I have not experienced any difficulties,3 – Neutral,Yes
Non-Profit Organization,Executive-level leadership,,,,,,,,,,,,,
Other (please specify):,Accounts receivable,,,,,,,,,,,,,
Other (please specify):,Sales,Yes,None of the above,None of the above,"PaymentWorks' Payee Knowledge Base,Procurement (pohelp@ucsd.edu)",Yes,Other:,Registering for Transcepta,"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Registering for Transcepta","Transcepta Support,Accounts Payable (payables@ucsd.edu)",Other (Please specify):,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,No
Small Business (per SBA standards),Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Web Portal (PO flip and manual creation),"Receiving notifications about invoice errors/rejections,Registering for Transcepta",Viewing invoice submission status.,The person ordering the goods or services,I am not aware of any of these resources,Other (Please specify):,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,,,,,,,,,,,,,
Large Business,Administrative support,Yes,None of the above,"Supplier Registration,Updating Remittance Details,Updating Company Information",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
Other (please specify):,Sales,Yes,"Updating Company Information,Contacting PaymentWorks",Updating Company Information,"Other (please specify):,The person ordering the goods or services",Yes,Transcepta - Electronic Data Interchange (EDI),"Registering for Transcepta,Viewing invoice submission status.","Viewing invoice submission status.,Registering for Transcepta","Accounts Payable (payables@ucsd.edu),Other (please specify):",Payee Newsletter,I have never utilized these resources or support,5 – Extremely Clear,Yes
Small Business (per SBA standards),Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Other (Please specify):,5 – Extremely Clear,Yes
Other (please specify):,Administrative support,Yes,Finding guidance on PaymentWorks actions,"Updating Remittance Details,Viewing Payment Status,Supplier Registration",Accounts Payable (payables@ucsd.edu),Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
