org_type_other,role_other,paymentworks_actions_text,paymentworks_difficulties_text,paymentworks_support_other,paymentworks_issues_open,invoice_submission_other,transcepta_interactions_text,transcepta_difficulties_text,transcepta_support_other,transcepta_issues_open,ipps_resources_other,ipps_difficulties_other,po_clarity_text,suggestions_open
,,,,,,,,,,,,,,
,,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,,,,,,,,Being referred to self-help when the issue required direct human assistance.,,
,,,,Never heard of PaymentWorks before this survey.,I had a difficult time connecting with a PaymentWorks representative initially.,,,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,kept referring me to self-help and Transcepta support,,
,,,Haven't had issues yet.,Have not used it yet.,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,,,
S-Corp,,,,,Client status says 'Registration Approved' but never advanced to 'Connected.',,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,,,
,,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,,,,,,,,Payables@ucsd.edu is not very helpful.,,
,,,,,,,,,,,,,Optional — please elaborate on your choice.,
,Dispatch Manager,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Getting paid for invoices submitted has been the main challenge.,,,,,,,,,
,,,,,,,,,,,Other resources found via Google.,,,
,,,,,,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,,,,,
,,,,,,,,,,,,,,
,,,"Things that are not important for me — I do not remember, so it is probably fine.",Accounting department internally.,,,,,,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,,"My most recent PO communication came directly from a real person, not from these systems.",
,,See response to question #2.,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,Clear but the support for issues with the process was lacking.,
,Owner/Service Engineer,I have not used PaymentWorks directly; our client handles that side.,,,,,,,,,Been too long. Do not remember.,,,
,Manager,,Very challenging given the requirements to submit for reimbursement.,,,,,,,,,,,
,,,,,Several tickets opened to support. Vendor is unable to view remittance information. Matter still open without resolution.,,Been too long. Do not remember.,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,Being referred to self-help when the issue required direct human assistance.,,
,,,Tax form management is confusing — we submitted our W-8BEN-E but keep being asked to resubmit. Unclear if it was received.,,,,N/A — I've never interacted with Transcepta directly.,,,,,,,
Uncertified Small Business,,,,,,Email directly to AP contact.,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,
,,I have not used PaymentWorks directly; our client handles that side.,,,,,,Had to contact several parties over several months to resolve the issue.,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,It's nearly impossible to communicate with a real person. I suspect that is by design. But it makes it very hard to figure out issues.
,,,,,,,I've spoken with Customer Service multiple times. They had different instructions than what was provided and admitted their QBO interface was not good.,,,,,Payables@ucsd.edu is not very helpful.,,
,Owner,,,,,,,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,I don't remember who I emailed.,
,,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,,,,,,,I don't know what instructions you are referring to. All I need is the number and the statement of work.,Thank you for the continued efforts to improve supplier experience. More streamlined guidance would be appreciated.
,,I rarely use PaymentWorks — only log in when UCSD requires an update.,,,You are paying us. We should not have to register in your internal processing portal. AP specialists at your organization should be handling this.,,,,,,,,,
,,,,,I had a difficult time connecting with a PaymentWorks representative initially.,,,,,,,,,A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
,,,,,,,,,,,,,,Please change this process as soon as possible. You are paying us — we issue an invoice with payment instructions and it is your organization's responsibility to match it to internal POs.
,,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,I finally got ahold of someone after several attempts.,,,,,,,Been too long. Do not remember.,,,
Public Agency,,,,,,,,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,Payables@ucsd.edu is not very helpful.,,
,,,,I finally got ahold of someone after several attempts.,,,,,,,,,,
,,,,,,,,Been too long. Do not remember.,,"Transcepta creates much more work for the supplier. It requires re-entering all information from our own invoices item by item, line by line. We prefer to submit our company-generated invoices directly.",,,,
INGO,,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,,,,,,,,,kept referring me to self-help and Transcepta support,,
,,,,,,,,Had to contact several parties over several months to resolve the issue.,,,,,,
,,,,,,,,,Been too long. Do not remember.,,,,I don't remember who I emailed.,
,,,,,,,,,,"I was directed to Transcepta only after all other stages were complete and work had been done for two months. Invoices in one system, payment info in another, status updates in another. Very convoluted.",Other resources found via Google.,,,
,,,,,"Unless forced to submit via Transcepta, we do not use it. Our customers receive invoices emailed directly.",,Optional — please elaborate on choices selected.,No issues. Transcepta is very easy to use.,,,,,,
,,,,,"Again, never heard of this — I used to send invoices to the manager, now I use Transcepta.",,,,,,,,,
,,,,,,,,,,,,,I don't remember who I emailed.,
,,,,,The customers use PaymentWorks. Our company does not interact with it directly.,,,,,,,,,I began this process in early December. Work was completed in January. I was still working through your portals well into April. There is no reason for this.
,Agriculture sales,,I do not recall having difficulties.,,,EDI,,,,,,,,Communication — simple and straightforward. That may be something to implement.
,Owner/Operator,,,,,,,,,,Department administrator shared a guide.,,,
,,,Tax form management is confusing — we submitted our W-8BEN-E but keep being asked to resubmit. Unclear if it was received.,,,,,Been too long. Do not remember.,,,,,,
,Customer/training/success,,,,,,,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,,,
,,,,,,,,Viewing invoice submission status was the main issue.,,,,,,
,Owner/Operator,,"Things that are not important for me — I do not remember, so it is probably fine.",,,,,When I submit an invoice the total always shows $0 and I have to go back and edit it to change the amount.,,,,,,
,,,,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,,,,,,,I began this process in early December. Work was completed in January. I was still working through your portals well into April. There is no reason for this.
,,,"Things that are not important for me — I do not remember, so it is probably fine.",None.,,,I've spoken with Customer Service multiple times. They had different instructions than what was provided and admitted their QBO interface was not good.,"It is a little cumbersome. Many steps, but understandable given the nature of the system.",,,,,,Get rid of Transcepta.
,Engineering Sales & Service,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,,,
,,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,,,
,,,,,,,,,,,Department administrator shared a guide.,,,
,Consulting firm,,,,,,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,Been too long. Do not remember.
INGO,,,,,,,,,,,,Payables@ucsd.edu is not very helpful.,,
,,,,,,,,,,"I was directed to Transcepta only after all other stages were complete and work had been done for two months. Invoices in one system, payment info in another, status updates in another. Very convoluted.",,,,
,,,Haven't had issues yet.,We have not used PaymentWorks.,Been too long. Do not remember.,,,,,,,,,
,,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,,,
,,,,I finally got ahold of someone after several attempts.,I had a horrible experience as a UC San Diego supplier.,QBO (QuickBooks Online),Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,,,,,
DBE CA,,,,Never heard of PaymentWorks before this survey.,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,Unbelievable that in the age of AI you still require manual invoice mapping. QuickBooks does this automatically.
,Accounting,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,,,,,,,,I don't recall enough to provide meaningful feedback at this time.
,,,,,,,,,,,,,,
,Owner/Service Engineer,,,,Very challenging given requirements. I've created my own how-to document to navigate this.,,,,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,"My most recent PO communication came directly from a real person, not from these systems.",
,,,,,,,,,,,,,,
,,,,,,,,,"We didn't choose to use this portal — your organization did. You should be the point of contact for issues, not a third-party vendor.",,,Read comment above. The issue isn't having enough support — it's about having an easy-to-use system that does things right the first time.,,
,Media Trainer,,,,,,,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,,,
,,,,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,
,,,Everything was bad. I will never work again with any company that uses this system.,,,,,,,,,,,
,,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,,,,,,Department administrator.,,,,,
,,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,,,,Department administrator shared a guide.,,,
,,,,,,,I've spoken with Customer Service multiple times. They had different instructions than what was provided and admitted their QBO interface was not good.,Been too long. Do not remember.,,Been too long. Do not remember.,,,,
,Sole member,,Everything was bad. I will never work again with any company that uses this system.,,,,,Transcepta is awful for small businesses — almost all of us use QuickBooks or QBO.,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,,
,,,,We have not used PaymentWorks.,I had a difficult time connecting with a PaymentWorks representative initially.,,,,,,,,,
,,,,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,"I was directed to Transcepta only after all other stages were complete and work had been done for two months. Invoices in one system, payment info in another, status updates in another. Very convoluted.",,,Clear but the support for issues with the process was lacking.,
,,,,We have not used PaymentWorks.,I had a horrible experience as a UC San Diego supplier.,,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,
,,,,,,,,,,"I was directed to Transcepta only after all other stages were complete and work had been done for two months. Invoices in one system, payment info in another, status updates in another. Very convoluted.",,Been too long. Do not remember.,,
,,,,,Very challenging given requirements. I've created my own how-to document to navigate this.,,,"It is a little cumbersome. Many steps, but understandable given the nature of the system.",,,,,,
,Owner/Operator,,,,,,,,,"I was directed to Transcepta only after all other stages were complete and work had been done for two months. Invoices in one system, payment info in another, status updates in another. Very convoluted.",,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,,,,,Been too long. Do not remember.,,,,,,,Been too long. Do not remember.,"My most recent PO communication came directly from a real person, not from these systems.",
,,,,,,,,,,,Other resources found via Google.,,,I believe the process could be greatly improved by having a single point of contact instead of multiple portals.
,,,Haven't had issues yet.,,,,,,,,,kept referring me to self-help and Transcepta support,,
,Engineering Sales & Service,,,,,,,No issues. Transcepta is very easy to use.,Accounting department.,Been too long. Do not remember.,,,,There should be changes to the length of time services are paid for. It is not reasonable to expect a contractor to wait 60 or 90 days to get paid.
,,,,,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,,,,,,,,Been too long. Do not remember.
,,,,,,,,,,,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,
,,,,,,,,,,One invoice was approved but never paid when the AP clerk on my account changed.,,,,I began this process in early December. Work was completed in January. I was still working through your portals well into April. There is no reason for this.
,,,,,,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,,,,"My most recent PO communication came directly from a real person, not from these systems.",
,,,,Have not used it yet.,,EMAIL. You are paying us. We should not have to register in your internal portal.,,,,,,,,
,,I have not used PaymentWorks directly; our client handles that side.,I do not recall having difficulties.,,,,,,,,,,,
,Teaching,,,,,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,kept referring me to self-help and Transcepta support,,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",MedEd AP person or my project manager.,Everything was bad. I will never work again with any company that uses Transcepta.,I have created my own set of instructions — a how-to document to navigate this system.,Been too long. Do not remember.,"My most recent PO communication came directly from a real person, not from these systems.",
,,,,,,,Optional — please elaborate on choices selected.,Viewing invoice submission status was the main issue.,,,,,,
,,,,,,,,,,,,,,
S-Corp,,,I do not recall having difficulties.,,,,,"Transcepta requires re-entering all information from our own invoices item by item, line by line. Very cumbersome.",,,I have created my own set of instructions — a how-to document to navigate this system.,,,
,,,,,,,,,,,,,,
,,,,,,,Been too long. Do not remember.,,,,,,,
,,,,,Been too long. Do not remember.,,,Had to contact several parties over several months to resolve the issue.,,,,I honestly don't wish to invest the time.,,
,,,,,,,,,,,,Payables@ucsd.edu is not very helpful.,,
